City,Library,Address,Zip,Phone,State
New York,Andrew Heiskell Braille And Talking Book Library,40 West 20th Street,10011,(212) 206-5400,New York
New York,Battery Park City Library,175 North End Avenue,10282,(212) 790-3499,New York
New York,Bloomingdale Library,150 West 100th Street,10025,(212) 222-8030,New York
New York,Chatham Square Library,33 East Broadway,10002,(212) 964-6598,New York
New York,Columbus Library,742 10th Avenue,10019,(212) 586-5098,New York
New York,Countee Cullen Library,104 West 136th Street,,(212) 491-2070,New York
New York,Epiphany Library,228 East 23rd Street,10010,(212) 679-2645,New York
New York,Fort Washington Library,535 West 179th Street,10033,(212) 927-3533,New York
New York,George Bruce Library,518 West 125th Street,10027,(212) 662-9727,New York
New York,Grand Central Library,135 East 46th Street,10017,(212) 621-0670,New York
New York,Hamilton Fish Park Library,415 East Houston Street,10002,(212) 673-2290,New York
New York,Hamilton Grange Library,503 West 145th Street,10031,(212) 926-2147,New York
New York,Harlem Library,9 West 124th Street,10027,(212) 348-5620,New York
New York,Hudson Park Library,66 Leroy Street,10014,(212) 243-6876,New York
New York,Inwood Library,4790 Broadway,10034,,New York
New York,Jefferson Market Library,425 Avenue Of The Americas,10011,(212) 243-4334,New York
New York,Kips Bay Library,446 Third Avenue,10016,(212) 683-2520,New York
New York,Macombs Bridge Library,"2650 Adam Clayton Powell, Jr. Blvd.",10039,(212) 281-4900,New York
New York,Mid-Manhattan Library,455 Fifth Avenue,10016,(212) 340-0863,New York
New York,Morningside Heights,2900 Broadway,10025,(212) 864-2530,New York
New York,Muhlenberg Library,209 West 23rd Street,10011,(212) 924-1585,New York
New York,Mulberry Street Library,10 Jersey Street,10012,(212) 966-3424,New York
New York,New Amsterdam Library,9 Murray Street,10007,(212) 732-8186,New York
New York,"New York Public Library For The Performing Arts, Dorothy And Lewis B. Cullman Center",40 Lincoln Center Plaza,10023,(917) 275-6975,New York
New York,"New York Public Library, The Branch Libraries",455 Fifth Avenue,10016,(212) 930-0674,New York
New York,Ottendorfer Library,135 Second Avenue,10003,(212) 674-0947,New York
New York,Riverside Library,127 Amsterdam Avenue,10023,(212) 870-1810,New York
New York,Roosevelt Island Library,524 Main Street,10044,(212) 308-6243,New York
New York,Schomburg Center For Research In Black Culture,515 Malcolm X Boulevard,10037,(212) 491-2200,New York
New York,"Science, Industry And Business Library",188 Madison Avenue 34th Street,10016,(917) 275-6975,New York
New York,Seward Park Library,192 East Broadway,10002,(212) 477-6770,New York
New York,St. Agnes Library,444 Amsterdam Avenue,10024,(212) 621-0619,New York
New York,Stephen A. Schwarzman Building,,10018,(917) 275-6975,New York
New York,Terence Cardinal Cooke-Cathedral Library,560 Lexington Avenue,10022,(212) 752-3824,New York
New York,Tompkins Square Library,331 East 10th Street,10009,(212) 228-4747,New York
New York,Washington Heights Library,1000 St. Nicholas Avenue,10032,(212) 923-6054,New York
New York,Webster Library,1465 York Avenue,10021,(212) 288-5049,New York
New York,Yorkville Library,222 East 79th Street,10021,(212) 744-5824,New York
New York Mills,New York Mills Public Library,399 Main Street,13417,(315) 736-5391,New York
Newark,Newark Public Library,121 High Street,14513,(315) 331-4370,New York
Newark Valley,Tappan-Spaulding Memorial Library,6 Rock Street,13811,(607) 642-9960,New York
Newburgh,Newburgh Free Library,124 Grand Street,12550,(845) 563-3600,New York
Newfane,Newfane Free Library,2761 Maple Avenue,14108,(716) 778-9344,New York
Newfield,Newfield Public Library,198 Main Street,14867,(607) 564-3594,New York
Newport,Newport Free Library,7390 Main Street,13416,(315) 845-8533,New York
Niagara Falls,Niagara Falls Public Library,1425 Main Street,14305,(716) 286-4911,New York
Nichols,George P. Susan Platt Cady Library,42 River Street,13812,(607) 699-3835,New York
Nineveh,Nineveh Pub Lib Of Colesville Township,3029 Ny State Hwy 7,13813,(607) 693-1858,New York
Niskayuna,Schenectady County Public Library - Niskayuna Branch,2400 Nott Street East,12309,(518) 386-2249,New York
Norfolk,Hepburn Library Of Norfolk,1 Hepburn Street,13667,(315) 384-3052,New York
North Babylon,North Babylon Public Library,815 Deer Park Avenue,11703,(631) 669-4020,New York
North Bellmore,North Bellmore Public Library,1551 Newbridge Road,11710,(516) 785-6260,New York
North Chatham,North Chatham Free Library,4286 State Route 203,12132,(518) 766-3211,New York
North Collins,North Collins Library,2095 School Street,14111,(716) 337-3211,New York
North Collins,Town Of North Collins Public Library,2095 School Street,14111,(716) 337-3211,New York
North Creek,Town Of Johnsburg Library,219 Main Street,12853,(518) 251-4343,New York
North Merrick,North Merrick Public Library,1691 Meadowbrook Road,11566,(516) 378-7474,New York
North Salem,Ruth Keeler Memorial Library,276 Titicus Road,10560,(914) 669-5161,New York
North Tonawanda,North Tonawanda Public Library,505 Meadow Drive,14120,(716) 693-4132,New York
Northport,Northport Public Library,151 Laurel Avenue,11768,(631) 261-6930,New York
Northville,Northville Public Library,341 South Third Street,12134,(518) 863-6922,New York
Norwich,Guernsey Memorial Library Of Norwich,3 Court Street,13815,(607) 334-4034,New York
Norwood,Norwood Library,1 Morton Street,13668,(315) 353-6692,New York
Nunda,Bell Memorial Library,16 East Street,14517,(585) 468-2266,New York
Nyack,Nyack Library,59 South Broadway,10960,(845) 358-3370,New York
Oakfield,Haxton Memorial Library,3 North Pearl Street,14125,(585) 948-9900,New York
Oceanside,Oceanside Library,30 Davison Avenue,11572,(516) 766-2360,New York
Odessa,Dutton S. Peterson Memorial Library,106 First St.,14869,(607) 594-2791,New York
Ogdensburg,Ogdensburg Public Library,312 Washington Street,13669,(315) 393-4325,New York
Old Forge,Old Forge Library,220 Crosby Boulevard,13420,(315) 369-6008,New York
Olean,Olean Public Library,134 North Second Street,14760,(716) 372-0200,New York
Oneida,Oneida Public Library,220 Broad Street,13421,(315) 363-3050,New York
Oneonta,Huntington Memorial Library,62 Chestnut Street,13820,(607) 432-1980,New York
Ontario,Ontario Public Library,1850 Ridge Road,14519,(315) 524-8381,New York
Orangeburg,Orangeburg Library,20 South Greenbush Road,10962,(845) 359-2244,New York
Orchard Park,Orchard Park Public Library,4570 South Buffalo Street,14127,(716) 662-9851,New York
Oriskany,Oriskany Public Library,621 Utica Street,13424,(315) 736-2532,New York
Oriskany Falls,C. W. Clark Memorial Library,160 North Main Street,13425,(315) 821-7850,New York
Orwell,Cogswell Free Library,1999 County Route 2,13426,(315) 298-5563,New York
Ossining,Ossining Public Library,53 Croton Avenue,10562,(914) 941-2416,New York
Oswego,Oswego School District Public Library,120 East Second Street,13126,(315) 341-5867,New York
Otego,Harris Memorial Library,334 Main Street,13825,(607) 988-6661,New York
Ovid,Edith B. Ford Memorial Library,7169 North Main Street,14521,(607) 869-3031,New York
Owego,Coburn Free Library,275 Main Street,13827,(607) 687-3520,New York
Oxford,Oxford Memorial Library,8 Fort Hill Park,13830,(607) 843-6146,New York
Oyster Bay,Oyster Bay-East Norwich Public Library,89 East Main Street,11771,(516) 922-1212,New York
Ozone Park,Queens Borough Public Library - Ozone Park,92-24 Rockaway Boulevard,11417,(718) 845-3127,New York
Palenville,Catskill Public Library Palenville Branch,3335 Route 23a,12463,(518) 678-3357,New York
Palisades,Palisades Free Library,19 Closter Road,10964,(845) 359-0136,New York
Palmyra,Palmyra Kings Daughters Free Lib.,127 Cuyler Street,14522,(315) 597-5276,New York
Parish,Parish Public Library,3 Church Street,13131,(315) 625-7130,New York
Patchogue,Briarcliffe College Library - Patchogue,225 West Main Street,11772,(631) 730-2006,New York
Patchogue,Patchogue-Medford Library,54-60 East Main Street,11772,(631) 654-4700,New York
Patterson,Patterson Library,1167 Route 311,12563,(845) 878-6121,New York
Pavilion,Pavilion Public Library,5 Woodrow Drive,14525,(585) 584-8843,New York
Pawling,Pawling Free Library,11 Broad Street,12564,(845) 855-3444,New York
Pearl River,Pearl River Public Library,80 Franklin Avenue,10965,(845) 735-4084,New York
Peekskill,The Field Library,4 Nelson Avenue,10566,(914) 737-1212,New York
Pelham,Town Of Pelham Public Library,530 Colonial Avenue,10803,(914) 738-1234,New York
Penfield,Penfield Public Library,1985 Baird Road,14526,(585) 340-8720,New York
Penn Yan,Penn Yan Public Library,214 Main Street,14527,(315) 536-6114,New York
Perry,Perry Public Library,70 North Main Street,14530,(585) 237-2243,New York
Peru,Peru Free Library,3024 Route 22,12972,(518) 643-8618,New York
Petersburgh,Petersburg Public Library,69 Main Street,12138,(518) 658-2927,New York
Phelps,Phelps Community Memorial Library,8 Banta St. Suite 200,14532,(315) 548-3120,New York
Philadelphia,Bodman Memorial Library,8 Aldrich Street,13673,(315) 642-3323,New York
Philmont,Philmont Public Library,101 Main Street,12565,(518) 672-5010,New York
Phoenicia,Phoenicia Library,48 Main Street,12464,(845) 688-7811,New York
Phoenix,Phoenix Public Library,34 Elm Street,13135,(315) 695-4355,New York
Piermont,Piermont Library District,25 Flywheel Park West,10968,(845) 359-4595,New York
Pike,Pike Library,65 West Main Street,14130,(585) 493-5900,New York
Pine Bush,Pine Bush Area Public Library District,227 Maple Avenue,12566,(845) 744-3375,New York
Pine Hill,Morton Memorial Library,22 Elm Street,12465,(845) 254-4222,New York
Pine Plains,Pine Plains Free Library,7806 South Main Street,12567,(518) 398-1927,New York
Pittsford,Pittsford Community Library,24 State Street,14534,(585) 248-6275,New York
Plainview,Plainview-Old Bethpage Public Library,999 Old Country Road,11803,(516) 938-0077,New York
Plattsburgh,Clinton Essex Franklin Library System,33 Oak Street,12901,(518) 563-5190,New York
Plattsburgh,Plattsburgh Public Library,19 Oak Street,12901,(518) 563-0921,New York
Pleasant Valley,Pleasant Valley Free Library,1584 Main Street,12569,(845) 635-8460,New York
Pleasantville,Mount Pleasant Public Library,350 Bedford Road,10570,(914) 769-0548,New York
Poestenkill,Poestenkill Library,9 Plank Road,12140,(518) 283-3721,New York
Poland,Poland District Public Library,8849 Main Street,13431,(315) 826-3112,New York
Poplar Ridge,Hazard Library,PO Box 2487,13139,(315) 364-7975,New York
Port Byron,Port Byron Library,12 Sponable Drive,13140,(315) 776-5694,New York
Port Chester,Port Chester Public Library,1 Haseco Avenue,10573,(914) 939-6710,New York
Port Ewen,Town Of Esopus Port Ewen Library,128 Canal Street,12466,(845) 338-5580,New York
Port Henry,Sherman Free Library,20 Church Street,12974,(518) 546-7461,New York
Port Jefferson,Port Jefferson Free Library,100 Thompson Street,11777,(631) 473-0022,New York
Port Jefferson Station,Comsewogue Public Library,170 Terryville Road,11776,(631) 928-1212,New York
Port Jervis,Port Jervis Free Library,138 Pike Street,12771,(845) 856-7313,New York
Port Leyden,Port Leyden Community Library,3145 Canal Street,13433,(315) 348-6077,New York
Port Washington,Port Washington Public Library,1 Library Drive,11050,(516) 883-4400,New York
Portville,Portville Free Library,2 North Main Street,14770,(716) 933-8441,New York
Potsdam,Potsdam Public Library,2 Park Street,13676,(315) 265-7230,New York
Poughkeepsie,Greater Poughkeepsie Library District,93 Market Street,12601,(845) 485-3445,New York
Poughkeepsie,Lagrange Association Library,488 Freedom Plains Road,12603,(845) 452-3141,New York
Poughkeepsie,Mid-Hudson Library System,103 Market Street,12601,(845) 471-6060,New York
Poughkeepsie,Poughkeepsie Public Library District,93 Market Street,12601,(845) 485-3445,New York
Pound Ridge,Pound Ridge Library District,271 Westchester Avenue,10576,(914) 764-5085,New York
Prattsburgh,Prattsburg Free Library,26 Main Street,14873,(607) 522-3490,New York
Prospect,Prospect Free Library,915 Trenton Falls Street,13435,(315) 896-2736,New York
Pulaski,Pulaski Public Library,4917 North Jefferson Street,13142,(315) 298-2717,New York
Pulteney,Pulteney Free Library,9226 Cty Rt 74,14874,(607) 868-3652,New York
Purchase,Purchase Free Library,3093 Purchase Street,10577,(914) 948-0550,New York
Putnam Valley,Putnam Valley Free Library,30 Oscawana Lake Road,10579,(845) 528-3242,New York
Queens Village,Queens Borough Public Library - Queens Village,94-11 217 Street,11428,(718) 776-6800,New York
Quogue,Quogue Library,90 Quogue Street,11959,(631) 653-4224,New York
Randolph,Randolph Free Library,26 Jamestown Street,14772,(716) 358-3712,New York
Ransomville,Ransomville Free Library,3733 Ransomville Road,14131,(716) 791-4073,New York
Raquette Lake,Raquette Lake Free Library,1 Dillon Road,13436,(315) 354-4005,New York
Ravena,RCS Community Library,15 Mountain Road,12143,(518) 756-2053,New York
Red Creek,Red Creek Free Library,6817 Main Street,13143,(315) 754-6679,New York
Red Hook,Red Hook Public Library,7444 South Broadway,12571,(845) 758-3241,New York
Rego Park,Queens Borough Public Library - Rego Park,91-41 63 Drive,11374,(718) 459-5140,New York
Remsen,Didymus Thomas Library,9639 Main Street,13438,(315) 831-5651,New York
Rensselaer,Rensselaer Public Library,810 Broadway,12144,(518) 462-1193,New York
Rensselaerville,Rensselaerville Public Library,1459 Main Street,12147,(518) 797-3949,New York
Rhinebeck,Clinton Community Library,1215 Centre Road,12572,(845) 266-5530,New York
Rhinebeck,Starr Library,68 West Market Street,12572,(845) 876-4030,New York
Rhinecliff,Morton Memorial Library And Community House,82 Kelly Street,12574,(845) 876-2903,New York
Richburg,Colonial Library,160 Main Street,14774,(585) 928-2694,New York
Richfield Springs,Richfield Springs Public Library,102 Main Street,13439,(315) 858-0230,New York
Richmond Hill,Queens Borough Public Library - Lefferts,103-34 Lefferts Boulevard,11419,(718) 843-5950,New York
Richmond Hill,Queens Borough Public Library - Richmond Hill,118-14 Hillside Avenue,11418,(718) 849-7150,New York
Richville,Richville Free Library,87 Main Street,13681,(315) 287-1481,New York
Ridgewood,Queens Borough Public Library - Ridgewood,20-12 Madison Street,11385,(718) 821-4770,New York
Ripley,Ripley Free Library,64 West Main Street,14775,(716) 736-3913,New York
Riverhead,Riverhead Free Library,330 Court Street,11901,(631) 727-3228,New York
Rochester,Arnett Branch Library,310 Arnett Boulevard,58542,,New York
Rochester,Brighton Memorial Library,2300 Elmwood Avenue,14618,(585) 784-5300,New York
Rochester,Central Library Of Rochester And Monroe County,115 South Avenue,14604,(585) 428-7300,New York
Rochester,Charlotte Branch Library,3557 Lake Avenue,14612,(585) 428-8216,New York
Rochester,Chili Public Library,3333 Chili Avenue,14624,(585) 889-2200,New York
Rochester,Gates Public Library,902 Elmgrove Road,14624,(585) 247-6446,New York
Rochester,Henrietta Public Library,455 Calkins Road,14623,(585) 359-7093,New York
Rochester,Highland Branch Library,971 South Avenue,,(585) 428-8206,New York
Rochester,Irondequoit Public Library - Helen Mcgraw Branch,2180 East Ridge Rd.,14622,(585) 336-6060,New York
Rochester,Irondequoit Public Library - Pauline Evans Branch,45 Cooper Road,14617,(585) 336-6062,New York
Rochester,Lincoln Branch Library,851 Joseph Avenue,14621,(585) 428-8210,New York
Rochester,Lyell Branch Library,956 Lyell Avenue,14606,(585) 428-8218,New York
Rochester,Maplewood Community Library,1111 Dewey Avenue,14613,(585) 428-8220,New York
Rochester,Monroe Branch Library,809 Monroe Avenue,14607,(585) 428-8202,New York
Rochester,Monroe County Library System,,,,New York
Rochester,Phillis Wheatley Community Library,33 Dr. Samuel Mccree Way,14608,(585) 428-8212,New York
Rochester,Rochester Public Library,115 South Avenue,14604,(585) 428-7300,New York
Rochester,Sully Branch Library,530 Webster Avenue,14609,(585) 428-8208,New York
Rochester,Winton Branch Library,611 Winton Road North,14609,(585) 428-8204,New York
Rockaway Beach,Queens Borough Public Library - Peninsula,92-25 Rockaway Beach Boulevard,11693,(718) 634-1110,New York
Rockaway Park,Queens Borough Public Library - Seaside,116-15 Rockaway Beach Boulevard,11694,(718) 634-1876,New York
Rockville Centre,Lakeview Public Library,1120 Woodfield Road,11570,(516) 536-3071,New York
Rockville Centre,Rockville Centre Public Library,221 North Village Avenue,11570,(516) 766-6257,New York
Rodman,Rodman Public Library,12509 School Street,13682,(315) 232-2522,New York
Rome,"The Jervis Public Library Association, Inc.",613 North Washington Street,13440,(315) 336-4570,New York
Roosevelt,Roosevelt Public Library,27 West Fulton Avenue,11575,(516) 378-0222,New York
Roscoe,Roscoe Free Library,85 Highland Ave,12776,(607) 498-5574,New York
Rose,Rose Free Library,4069 Main Street,14542,(315) 587-2335,New York
Rosedale,Queens Borough Public Library - Rosedale,144-20 243 Street,11422,(718) 528-8490,New York
Rosendale,Rosendale Library,264 Main Street,12472,(845) 658-9013,New York
Roslyn,Bryant Library,2 Paper Mill Road,11576,(516) 621-2240,New York
Round Lake,Womens Round Lake Improvement Society Lib,31 Wesley Avenue,12151,(518) 899-2285,New York
Rouses Point,Rouses Point Dodge Memorial Library,144 Lake Street,12979,(518) 297-6242,New York
Roxbury,Roxbury Library Association,53742 State Highway 30,12474,(607) 326-7901,New York
Rush,Rush Public Library,5977 East Henrietta Road,14543,(585) 533-1370,New York
Rushford,Rushford Free Library,9012 Main Street,14777,(585) 437-2533,New York
Russell,Russell Public Library,24 Pestle Street,13684,(315) 347-2115,New York
Rye,Rye Free Reading Room,1061 Boston Post Road,10580,(914) 967-0480,New York
Sackets Harbor,Hay Memorial Library Of Sackets Harbor,105 South Broad Street,13685,(315) 646-2228,New York
Sag Harbor,John Jermain Memorial Library,201 Main Street,11963,(631) 725-0049,New York
Salamanca,Salamanca Public Library,155 Wildwood Avenue,14779,(716) 945-1890,New York
Salamanca,Seneca Nation Library Allegany Branch,830 Broad Street Extension,14779,(716) 945-3157,New York
Salem,Bancroft Public Library,181 Main Street,12865,(518) 854-7463,New York
Salisbury Center,Kirby Free Library Of Salisbury,105 State Route 29a,13454,(315) 429-9006,New York
Sanborn,Sanborn-Pekin Free Library,5884 West Street,14132,(716) 731-9933,New York
Sandy Creek,Annie Porter Ainsworth Memorial Library,6064 South Main Street,13145,(315) 387-3732,New York
Saranac Lake,Saranac Lake Free Library,109 Main Street,12983,(518) 891-4190,New York
Saratoga Springs,Saratoga Springs Public Library,49 Henry Street,12866,(518) 584-7860,New York
Saratoga Springs,Southern Adirondack Library System,22 Whitney Place,12866,(518) 584-7300,New York
Saugerties,Saugerties Public Library,91 Washington Avenue,12477,(845) 246-4317,New York
Savona,Savona Free Library,15 Mccoy Street,14879,(607) 583-4426,New York
Sayville,Sayville Library,11 Collins Avenue,11782,(631) 589-4440,New York
Scarsdale,Scarsdale Public Library,,10583,(914) 722-1300,New York
Schaghticoke,Arvilla E. Diver Memorial Library,136 Main Street,12154,(518) 753-4344,New York
Schenectady,Mohawk Valley Library Association,858 Duanesburg Road,12306,(518) 355-2010,New York
Schenectady,Schenectady County Public Library,99 Clinton Street,12305,(518) 388-4500,New York
Schenectady,Schenectady County Public Library - Duane Branch,1331 State Street,12304,(518) 386-2242,New York
Schenectady,Schenectady County Public Library - Hamilton Hill Branch,700 Craig Street,12307,(518) 386-2244,New York
Schenectady,Schenectady County Public Library - Mont Pleasant Branch,1026 Crane Street,12303,(518) 386-2245,New York
Schenectady,Schenectady County Public Library - Rotterdam Branch,1100 N. Westcott Road,12306,(518) 356-3440,New York
Schenectady,Schenectady County Public Library - Woodlawn Branch,2 Sanford Street,12304,(518) 386-2248,New York
Schoharie,Schoharie Free Library Assn.,103 Knower Avenue,12157,(518) 295-7127,New York
Schroon Lake,Schroon Lake Public Library,15 Leland Avenue,12870,(518) 532-7737,New York
Schuylerville,Schuylerville Public Library,52 Ferry Street,12871,(518) 695-6641,New York
Scio,Scio Memorial Library,3980 State Rt. 19,14880,(585) 593-4816,New York
Scotia,Schenectady County Public Library - Scotia Branch,14 Mohawk Avenue,12302,(518) 386-2247,New York
Scottsville,Scottsville Free Library,28 Main Street,14546,(585) 889-2023,New York
Sea Cliff,Sea Cliff Village Library,p.o. box 280,11579,(516) 671-4290,New York
Seaford,Seaford Public Library,2234 Jackson Avenue,11783,(516) 221-1334,New York
Seneca Falls,Seneca Falls Library,47 Cayuga Street,13148,(315) 568-8265,New York
Setauket,Emma S. Clark Memorial Library,120 Main Street,11733,(631) 941-4080,New York
Sharon Springs,Sharon Springs Free Library,129 Main Street,13459,(518) 284-3126,New York
Shelter Island,Shelter Island Public Library Society,37 North Ferry Road,11964,(631) 749-0042,New York
Sherburne,Sherburne Public Library,2 East State Street,13460,(607) 674-4242,New York
Sherman,Minerva Free Library,116 Miller Street,14781,(716) 761-6378,New York
Sherrill,Sherrill-Kenwood Free Library,543 Sherrill Road,13461,(315) 363-5980,New York
Shirley,Mastics-Moriches-Shirley Community Lib,407 William Floyd Parkway,11967,(631) 399-1511,New York
Shoreham,North Shore Public Library District,250 Route 25a,11786,(631) 929-4488,New York
Shortsville,Red Jacket Community Library,7 Lehigh Avenue,14548,(585) 289-3559,New York
Shrub Oak,John C. Hart Memorial Library,1130 East Main Street,10588,(914) 245-5262,New York
Sidney,Sidney Memorial Public Library,8 River Street,13838,(607) 563-1200,New York
Silver Creek,Anderson Lee Library,43 Main Street,14136,(716) 934-3468,New York
Silver Springs,Town Of Gainesville Public Library,10 Church Street,14550,(585) 493-2970,New York
Sinclairville,Sinclairville Free Library,15 Main Street,14782,(716) 962-5885,New York
Sloatsburg,Sloatsburg Public Library,1 Liberty Rock Road,10974,(845) 753-2001,New York
Smithtown,Smithtown Special Library District,1 North Country Road,11787,(631) 265-2072,New York
Smyrna,Smyrna Public Library,7 East Main Street,13464,(607) 627-6271,New York
Snyder,Eggertsville-Snyder Branch,4622 Main Street,14226,(716) 839-0700,New York
Sodus,Sodus Free Library,17 Maple Avenue,14551,(315) 483-9292,New York
Solvay,Solvay Public Library,615 Woods Road,13209,(315) 468-2441,New York
Somers,Somers Library,p.o. box 443,10589,(914) 232-5717,New York
South Fallsburg,Fallsburg Library,12 Railroad Plaza,12779,(845) 436-6067,New York
South Hollis,Queens Borough Public Library - South Hollis,204-01 Hollis Avenue,11412,(718) 465-6779,New York
South New Berlin,South New Berlin Free Library,3320 State Highway 8,13843,(607) 859-2420,New York
South Ozone Park,Queens Borough Public Library - South Ozone Park,128-16 Rockaway Boulevard,11420,(718) 529-1660,New York
South Salem,Lewisboro Library,15 Main Street,10590,(914) 763-3857,New York
Southampton,Rogers Memorial Library,91 Coopers Farm Road,11968,(631) 283-0774,New York
Southold,Southold Free Library,53705 Main Road,11971,(631) 765-2077,New York
Speculator,Town Of Lake Pleasant Public Library,2864 State Hwy 8,12164,(518) 548-4411,New York
Spencer,Spencer Library,41 North Main Street,14883,(607) 589-4496,New York
Spencerport,Farmers Library Company Of The Town Of Ogden,269 Ogden Center Road,14559,(585) 617-6181,New York
Spencerport,Ogden Farmers Library,269 Ogden Center Road,14559,(585) 617-6181,New York
Spring Valley,Finkelstein Memorial Library,24 Chestnut Street,10977,(845) 352-5700,New York
Springfield Center,Springfield Library,129 County Route 29a,13468,(315) 858-5802,New York
Springville,Concord Public Library,18 Chapel Street,14141,(716) 592-7742,New York
St. Albans,Queens Borough Public Library - St. Albans,191-05 Linden Boulevard,11412,(718) 528-8196,New York
St. Johnsville,Margaret Reaney Memorial Library,19 Kingsbury Avenue,13452,(518) 568-7822,New York
Staatsburg,Staatsburg Library,72 Old Post Road,12580,(845) 889-4683,New York
Stamford,Stamford Village Library,117 Main Street,12167,(607) 652-5001,New York
Stanfordville,Stanford Free Library,14 Creamery Road,12581,(845) 868-1341,New York
Staten Island,Dongan Hills Library,1617 Richmond Road,10304,(718) 351-1444,New York
Staten Island,Great Kills Library,56 Giffords Lane,10308,(718) 984-6670,New York
Staten Island,Huguenot Park Library,830 Huguenot Avenue,10312,(718) 984-4636,New York
Staten Island,New Dorp Library,309 New Dorp Lane,10306,(718) 351-2977,New York
Staten Island,Port Richmond Library,75 Bennett Street,10302,(718) 442-0158,New York
Staten Island,Richmondtown Library,200 Clarke Avenue,10306,(718) 668-0413,New York
Staten Island,South Beach Library,21-25 Robin Road,10305,(718) 816-5834,New York
Staten Island,St. George Library Center,5 Central Avenue,10301,(718) 442-8560,New York
Staten Island,Stapleton Library,132 Canal St.,10304,(718) 727-0427,New York
Staten Island,Todt Hill-Westerleigh Library,2550 Victory Boulevard,10314,(718) 494-1642,New York
Staten Island,Tottenville Library,7430 Amboy Road,10307,(718) 984-0945,New York
Staten Island,West New Brighton Library,976 Castleton Avenue,10310,(718) 442-1416,New York
Stephentown,Stephentown Memorial Library,472 New York Route 43,12168,(518) 733-5750,New York
Stillwater,Stillwater Free Library,74 South Hudson Avenue,12170,(518) 664-6255,New York
Stockton,Mary E. Seymour Memorial Free Library,22 North Main Street,14784,(716) 595-3323,New York
Stone Ridge,Stone Ridge Public Library,3700 Main Street,12484,(845) 687-7023,New York
Stony Creek,Stony Creek Free Library,37 Harrisburg Road,12878,(518) 696-5911,New York
Stony Point,Rose Memorial Library Association,79 East Main Street,10980,(845) 786-2100,New York
Suffern,Suffern Free Library,210 Lafayette Ave.,10901,(845) 357-1237,New York
Syosset,Syosset Public Library,225 South Oyster Bay Road,11791,(516) 921-7161,New York
Syracuse,Beauchamp Branch,2111 S. Salina St.,13205,(315) 435-3395,New York
Syracuse,Betts Branch Library,4862 S. Salina St.,13205,(315) 435-1940,New York
Syracuse,Fairmount Community Library Assoc.,406 Chapel Drive,13219,(315) 487-8933,New York
Syracuse,Hazard Branch Library,1620 W. Genesee St.,13204,(315) 435-5326,New York
Syracuse,Mundy Branch Library,1204 S. Geddes St.,13204,(315) 435-3797,New York
Syracuse,Northeast Community Center Library,716 Hawley Ave.,13203,(315) 472-6343,New York
Syracuse,Onondaga County Public Library,447 S. Salina St.,13202,(315) 435-1900,New York
Syracuse,Onondaga County Public Library,,13202,(315) 435-1800,New York
Syracuse,Onondaga Free Library,4840 West Seneca Turnpike,13215,(315) 492-1727,New York
Syracuse,Paine Branch Library,113 Nichols Ave.,13206,(315) 435-5442,New York
Syracuse,Petit Branch Library,105 Victoria Pl.,13210,(315) 435-3636,New York
Syracuse,Robert P. Kinchen Central Library,447 South Salina St.,13202,(315) 435-1900,New York
Syracuse,Soule Branch Library,101 Springfield Rd.,13214,(315) 435-5320,New York
Syracuse,Southwest Community Center Library,401 South Ave.,13204,(315) 671-5814,New York
Syracuse,White Branch Library,763 Butternut St.,13208,(315) 435-3519,New York
Tappan,Tappan Library,93 Main Street,10983,(845) 359-3877,New York
Tarrytown,Warner Library,121 North Broadway,10591,(914) 631-7734,New York
Tarrytown,Westchester Library System,540 White Plains Road Suite 200,10591,(914) 674-3600,New York
Theresa,Theresa Free Library,301 Main Street,13691,(315) 628-5972,New York
Thousand Island Park,Thousand Island Park Library,42743 St. Lawrence Avenue,13692,(315) 482-9098,New York
Ticonderoga,"Black Watch Memorial Library, Ticonderoga",99 Montcalm Street,12883,(518) 585-7380,New York
Ticonderoga,Ticonderoga Public Library,99 Montcalm Street,12883,(518) 585-7380,New York
Tivoli,Tivoli Free Library,86 Broadway,12583,(845) 757-3771,New York
Tomkins Cove,Tomkins Cove Public Library,419 Liberty Drive North,10986,(845) 786-3060,New York
Tonawanda,City Of Tonawanda Public Library,333 Main Street,14150,(716) 693-5043,New York
Troy,Brunswick Community Library,605 Brunswick Road,12180,(518) 279-4023,New York
Troy,Troy Public Library - Lansingburgh Branch,27 114th Street,12182,(518) 235-5310,New York
Troy,Troy Public Library - Main Library,100 Second Street,12180,(518) 274-7071,New York
Troy,Troy Public Library - Sycaway Branch,,12180,(518) 274-1822,New York
Trumansburg,Ulysses Philomathic Library,74 East Main Street,14886,(607) 387-5623,New York
Tuckahoe,Tuckahoe Public Library,71 Columbus Avenue,10707,(914) 961-2121,New York
Tully,Tully Free Library,12 State Street,13159,(315) 696-8606,New York
Tupper Lake,"Goff-Nelson Memorial Library, Tupper Lake",41 Lake Street,12986,(518) 359-9421,New York
Tupper Lake,Tupper Lake Public Library,41 Lake Street,12986,(518) 359-9421,New York
Turin,B. Elizabeth Strong Memorial Library,6312 East Main Street,13473,(315) 348-6433,New York
Tuxedo Park,Tuxedo Park Library,227 Route 17,10987,(845) 351-2207,New York
Unadilla,Unadilla Public Library,193 Main Street,13849,(607) 369-3131,New York
Union Springs,Springport Free Library,171 Cayuga Street,13160,(315) 889-7766,New York
